cnpj,cnpjordem,cnpjdv,identifmatriz_filial,nomefantasia,situcadastral,datasitucadastral,motivositucadastral,nomecidadeexterior,pais,datainicioatvd,cnaefiscalprincip,cnaefiscsecund,tipologradouro,logradouro,numero,complemento,bairro,cep,uf,municipio
34841215,0001,57,1,,02,20190911,00,,,20190911,9602502,,AVENIDA,RIO BRANCO,752,,CENTRO,88015202,SC,8105,47,30333204,,,,,CONTATO@MPCONSULT.COM.BR,,
34841226,0001,37,1,SEJUC,02,20190801,00,,,20190801,8424800,,RUA,ENG JORGE DE OLIVEIRA NETO,1007,,COROA DO MEIO,49035300,SE,3105,79,96415294,79,99889848,,,EVERALDO.ALVES@SEJUC.SE.GOV.BR,,
30333585,0001,22,1,HAINFELLNER BIER HAUS,08,20190911,01,,,20180430,5611204,,RUA,FRANCISCO ELLER,271,ANEXO,SAO PEDRO DA SERRA,28616133,RJ,5867,21,26195079,,,,,fernando.hainfellner@gmail.com,,
34841240,0001,30,1,TRANSPORTES NUNES,08,20200715,01,,,20190911,4930202,4930204,RUA,ROBERTINHO BRAGA,60,APT 403,FORQUILHINHA,88106662,SC,8327,48,84736208,,,,,heloisa.hprime@gmail.com,,
34841246,0001,08,1,BEAUTY CARE BY MAYARA LAISSA,02,20190911,00,,,20190911,9602502,"8599699,4729699,4772500",AVENIDA,GABRIEL HENRIQUE DE ARAUJO,S/N,QUADRA 03 LOTE 15,LORENA PARQUE,74483760,GO,9373,62,99003639,,,,,mayaralaissa@hotmail.com,,
32441803,0001,78,1,,08,20190911,01,,,20190114,4744099,"7732202,7732201",PRAIA,LOC PRAIA BELA,SN,QUADRA 40L17,PRAIA BELA,58324000,PB,2139,83,91377144,,,,,samuelerickson@hotmail.com,,
34841266,0001,89,1,Fabricio Paganucci,08,20210823,01,,,20190911,1091102,1091101,RUA,MANOEL BANDEIRA,57,,JARDIM INDAIA,06846570,SP,6401,11,71313184,,,,,fabricio.paganucci2@gmail.com,,
34836201,0001,45,1,DL ASSISTENCIA TECNICA EM CELULARES E SMARTFONES,02,20190911,00,,,20190911,4757100,"4752100,4789007",AVENIDA,ELIAS CRUVINEL,498,,BOA VISTA,38070100,MG,5401,34,33124872,,,,,LIDIPARONETO@GMAIL.COM,,
34549045,0001,31,1,ESPACO LA BELLE HAIR,08,20190911,01,,,20190815,9602501,,AVENIDA,BRIGADEIRO LUIS ANTONIO,930,CONJ 171,BELA VISTA,01318001,SP,7107,11,60333853,,,,,crysgomes37@gmail.com,,
34841286,0001,50,1,TOSCANA GRILL,02,20190911,00,,,20190911,5611203,5611201,ESTRADA,DO GRAVATA,S/N,,SITIO GAUCHO,94180120,RS,8683,51,34702909,,,,,,,
34841293,0001,51,1,ATELIE SAYURI AZEVEDO,04,20220113,63,,,20190911,1412601,"9529199,4781400,1412602",RUA,FRANCISCO FERRAZ CAMARGO,178,CONJ,VILA INDUSTRIAL,17204120,SP,6607,14,96028749,,,,,joaovictorazevedo178@gmail.com,,
32500857,0001,67,1,GRAFICA CAMPECHE,02,20220225,00,,,20190120,4751201,9511800,RUA,DA PLENITUDE,234,,CAMPECHE,88065090,SC,8105,11,99696725,,,,,RMARTINS2004@MSN.COM,,
34841306,0001,92,1,JC TRANSPORTES,08,20220307,01,,,20190911,7990200,"4929902,4929901",RUA,VL - 11,136,CASA,NOVA CONTAGEM,32050270,MG,4371,31,86894244,,,,,JC682488@GMAIL.COM,,
34841314,0001,39,1,GRUPO FIGUEIREDO,02,20190911,00,,,20190911,4754701,"1091101,4712100,4722901,4753900",RUA,SANTOS DUMONT,12,,CENTRO,39917000,MG,4103,33,87656387,33,37221009,,,ALVESFIGUEIREDOITALO@GMAIL.COM,,
34841324,0001,74,1,ALEX OZONIO ATE VOCE,02,20190911,00,,,20190911,4772500,,RUA,VEREADOR ANTONIO AGEU DE LIMA,20,,BELA VISTA,55608480,PE,2627,81,35231398,,,,,ALEXSONSANTIAGO@YAHOO.COM,,
34841334,0001,00,1,ALL SALGADERIA,08,20190918,01,,,20190911,5620104,,RUA,PARMA,81,CONJ,JARDIM MONTECATINI,86186220,PR,7471,43,84112140,,,,,alltelecomunicacoes@outlook.com,,
34841344,0001,45,1,Empreiteira Santos,02,20190911,00,,,20190911,4399103,"4321500,4322301,4330404,4330405",ESTRADA,DA MATRIZ,25,,PEDRA DE GUARATIBA,23026000,RJ,6001,21,98700780,,,,,pedrovieira.1982.p@gmail.com,,
34841350,0001,00,1,INGRID ROBERTA FERREIRA DE ABREU,02,20190911,00,,,20190911,8712300,,RUA,ORATORIO,2229,CONJ 1391/1392 A 2301/2302,PARQUE DAS NACOES,09280000,SP,7057,11,74148359,,,,,ingrid.robertafabreu@gmail.com,,
34841358,0001,69,1,,08,20200209,01,,,20190911,7319002,4752100,RUA,MARIO MONTENEGRO,200,,SIQUEIRA,60732546,CE,1389,85,87241151,,,,,elisangelass61@hotmail.com,,
34841863,0001,03,1,,02,20190912,00,,,20190912,4783101,,RUA,JOSE TRANCHE FIGUEIREDO,17,,DIVISA NOVA,37142000,MG,4447,35,34900530,,,,,,,
34841373,0001,07,1,ALESSANDRO MARCOS BAZOLLI,08,20220826,01,,,20190911,5620103,5620101,ESTRADA,DO ALVARENGA,1312,,BALNEARIO MAR PAULISTA,04467000,SP,7107,11,26451018,,,,,ALEBAZOLLI@HOTMAIL.COM,,
34841384,0001,97,1,PASTELARIA CANTINHO DA LU,04,20220124,63,,,20190911,5611201,,RUA,EVANILDE PICORELLI DE LIMA,22,,ROGER,58020349,PB,2051,83,86952554,,,,,luanasoaressoares1025@gmail.com,,
34841393,0001,88,1,LULUTH SHOP,04,20220112,63,,,20190911,4713002,,RUA,JORDAO,510,CONJ 08 AP 302,TANQUE,22725549,RJ,6001,21,90610185,,,,,llopeslucio@gmail.com,,
30318770,0001,48,1,,08,20190911,01,,,20180427,4631100,,RUA,BENEDITO LEITE,1677,,MERCADINHO,65903290,MA,0803,99,88314569,,,,,,,
34841409,0001,52,1,TRAKS - GALATI,08,20191003,01,,,20190912,7319002,,AVENIDA,ABILIO AUGUSTO TAVORA,2841,CONJ,JARDIM NOVA ERA,26275580,RJ,5869,21,95269568,,,,,flaviotrakfild@gmail.com,,
33040991,0001,95,1,GIL DANTAS MEDEIROS,08,20190912,01,,,20190315,5320202,5320201,RUA,PAIM,235,APT 819,BELA VISTA,01306010,SP,7107,11,23376554,,,,,gilmedeiros.jc@mail.com,,
34841427,0001,34,1,VCE Comercio de Roupas,04,20220210,63,,,20190912,4781400,,AVENIDA,DARCY VARGAS,222,,IPIRANGA,36031100,MG,4733,32,33210977,,,,,gabrielscaldini@gmail.com,,
34841440,0001,93,1,IRMAOS FERREIRA DOCES,02,20190912,00,,,20190912,4713002,,RUA,UVA DIAMANTE NEGRO,124,CONJ,MORADA DAS VINHAS,13214702,SP,6619,11,72488179,,,,,elieser.ckp2@gmail.com,,
34841454,0001,07,1,MERCADO DUAS MARIAS,02,20190912,00,,,20190912,4712100,"4721103,4723700,4744001,4755502,4772500,4789002",RUA,MACHADO DE ASSIS,1362,,SANTA LUZIA,47800720,BA,3363,77,81273135,,,,,UNIVERSO.UNICON@HOTMAIL.COM,,
34841466,0001,31,1,CONSULTOR IMOBILIARIO DANIEL LARA,04,20220104,63,,,20190912,7319002,,RUA,QUATRO DE JANEIRO,560,,JARDIM LEBLON,78060084,MT,9067,65,33653192,,,,,corretordanieldelara@gmail.com,,
34841480,0001,35,1,JOSE URBANO PEREIRA,02,20190912,00,,,20190912,4755503,"4789099,4781400,4754702,4759801,4743100",PASSAGEM,SAO VICENTE,17,CASA,MARCO,66095600,PA,0427,91,33523034,,,,,joseurbano1015@gmail.com,,
34841491,0001,15,1,,08,20190917,01,,,20190912,4744099,,RUA,LILIA GUERRINE SEGA,193,,NOVA PIRACICABA,13405174,SP,6875,19,34330082,,,,,,,
34841503,0001,01,1,La Bella,08,20201119,01,,,20190912,1412601,4781400,RUA,Guilherme Joao Brockweld,1384,CASA,Ilhotinha,88320000,SC,8139,47,97547798,,,,,ww.will.ian@hotmail.com,,
34841515,0001,36,1,ENGY BABY,02,20190912,00,,,20190912,4781400,,RUA,PIRACICABA,269,CONJ,VILA MONTE BELO,08577290,SP,6563,11,89239190,,,,,nalvagold1979@gmail.com,,
34841525,0001,71,1,Cleumir Glathardt,04,20220125,63,,,20190912,7319002,,RUA,MENDES RIBEIRO,154,,PATRONATO,24431635,RJ,5897,21,26047727,,,,,cleuglatprofit@gmail.com,,
34841535,0001,07,1,Larydocesedelicias,02,20190912,00,,,20190912,5620104,,RUA,BERNARDO PORTO,683,APT 201,MONTE CASTELO,60320570,CE,1389,85,87871190,,,,,laryneb@yahoo.com.br,,
34841549,0001,20,1,ESPETINHO DOS SOCIOS PVH,04,20220105,63,,,20190912,4724500,,RUA,TREZE DE SETEMBRO,837,,AREAL,76804318,RO,0003,69,99956756,,,,,LUIZWANDERSON54@GMAIL.COM,,
34841561,0001,35,1,Loja Virtual,02,20220627,00,,,20190912,7319002,,RUA,ADOLPHO BLOCH,165,CASA Quadra De Esportes,JAPIIM,69077813,AM,0255,92,33071787,,,,,4hs.4hs@gmail.com,,
34841573,0001,60,1,,02,20190912,00,,,20190912,4781400,"4649499,4744099,4754701,4755502,4755503,4759899,4763601,4782201,4789099",AVENIDA,PIAUI,374,LOJA 96;TERREO;EDIF COCAIS SHOPPING,PARQUE PIAUI,65631030,MA,0937,86,88163512,86,99780285,,,123EJAKIIDS@GMAIL.COM,,
